LegacyName,OVR,Year,Clan,Leader,Class Player,Cheater,Source,RCL
wantedxv,85,2022,BEAR,,,,,
ImperfectJayboss,84,2026,,,,,Matcha tier list,
auspwave,84,2022,VAK,,,,2022 Summer Games draft,
Nexstrious,84,2022,VAK,,,,2022 Summer Games draft,
actuallyJT,84,2021,,,,,Growth interpolation,
theNBK,84,2019,,,,,all-time impact top 100,
Arinatookcustody,84,2020,44th,,,,2020 tier list,
Auspicious,84,2020,VAK,,,,2020 tier list,
Birk,84,2020,CSP,,,,2020 tier list,
Blacklight,84,2020,,,,,2020 tier list,
Blackshadow37,84,2020,OP,,,,2020 tier list,
Cleave,84,2020,CSP,,,,2020 tier list,
Hooligan,84,2020,CSP,,,,2020 tier list,
JNICK,84,2020,WIJ,,,,2020 tier list,
luminated,84,2020,ARCON,,,,2020 tier list,
osts,84,2020,,,,,2020 tier list,
s9d,84,2020,,,,,2020 tier list,
Sentrumn,84,2020,OP,,,,2020 tier list,
SnowRabbitx1x,84,2020,ARCON,,,,2020 tier list,
soupy_s,84,2020,OP,,,,2020 tier list,
Stephe1n,84,2020,ARCON,,,,2020 tier list,
youngcion,84,2020,Valania,,,,2020 tier list,
SpetnazCaptain,84,2021,,,,,all-time impact top 100,
Vexitus,84,2021,,,,,2021 gun-clanner list,
Isxaiah,84,2023,RoR,,,,2023 tier list,
n3g_ative,84,2023,SITH,,,,2023 tier list,
soupy_s,84,2023,VAK,,,,2023 tier list,
vqndrx,84,2025,Snow Core,,,,Personal,
soupy_s,84,2022,VAK,,,,2022 Summer Games draft,
soupy_s,84,2021,,,,,Growth interpolation,
DREAMSKELLYMERC,84,2021,,Elite,,,2021 CCL draft,
zevtic,84,2021,,,,,2021 CCL draft,
ziuosa,84,2022,VAK,,,,2022 Summer Games draft,
kevinator,84,2023,SOL,,,,Sol Cup 2023,
AidanHLB,84,2023,SOL,,,,Sol Cup 2023,
Apocryphae,84,2023,SOL,,,,Sol Cup 2023,
stormvayne,84,2023,SOL,,,,Sol Cup 2023,
omwtoasty,84,2025,SOL,,,,Sol Cup 2025,
Swaagness,84,2025,SOL,,,,Sol Cup 2025,
Myronoso,84,2025,SOL,,,,Sol Cup 2025,
puregop,84,2025,SOL,,,,Sol Cup 2025,
GFRafael,84,2025,SOL,,,,Sol Cup 2025,
Drreaamzz,84,2025,SOL,,,,Sol Cup 2025,
Oxledus,84,2025,SOL,,,,Sol Cup 2025,
chemincal,84,2025,SOL,,,,Sol Cup 2025,
aimalot,84,2020,VAK,,,,2020 tier list,
platixah,84,2020,S9,,,,2020 tier list,
St8vey,84,2024,SOL,,,,SOL Summer 2024,
PHANTOM9THMAN,84,2024,SOL,,,,SOL Summer 2024,
v2nillaa,84,2024,SOL,,,,SOL Summer 2024,
Insvrgency,84,2024,SOL,,,,SOL Summer 2024,
nolimitsaint,84,2024,SOL,,,,SOL Summer 2024,
damejulio1942,87,2024,SOL,,,,Raid stats,
youngcion,86,2024,SOL,Experienced,,,Raid stats,
Shockaltar,84,2024,SOL,,,,SOL Summer 2024,
Jalahto,84,2024,SOL,,,,SOL Summer 2024,
outclaim,84,2024,SOL,,,,SOL Summer 2024,
makomami,84,2024,SOL,,,,SOL Summer 2024,
sevillano8,84,2024,SOL,,,,SOL Summer 2024,
FeatherRedemption,84,2024,SOL,Elite,,,SOL Summer 2024,
Colonelpwn2,84,2024,SOL,,,,SOL Summer 2024,
Handsam35,84,2024,SOL,,,,SOL Summer 2024,
Scavoh,84,2024,SOL,,,,SOL Summer 2024,
n3elo,84,2026,VAK,,,,VCL 2026,
The54Chevy,84,2026,VAK,,,,VCL 2026,
Int0ner,84,2026,VAK,,,,VCL 2026,
steaals,84,2026,VAK,,,,VCL 2026,
LoyalReaper,84,2026,VAK,,,,VCL 2026,
Kante6,84,2026,VAK,,,,VCL 2026,
ApexFaMe,84,2026,VAK,,,,VCL 2026,
platixah,84,2026,VAK,,,,VCL 2026,
notOSTS,84,2020,,,,,Latest tier list,
narits,84,2020,,,,,Latest tier list,
Diub,83,2022,VAK,,,,2022 Summer Games draft,
drSonata,83,2022,VAK,,,,2022 Summer Games draft,
Kante6,83,2022,VAK,,,,2022 Summer Games draft,
evj,83,2021,,Experienced,,,all-time impact top 100,
Satn1x,83,2021,,,,,2021 gun-clanner list,
SPENCERSREVENGE,83,2021,,,,,2021 gun-clanner list,
XBSIGHTS,83,2021,,Elite,,,all-time impact top 100,
benjyful,83,2026,,,,,Matcha tier list,
cratje,83,2026,,,,,Matcha tier list,
Dahblueman,83,2026,,,,,Matcha tier list,
ghostlywhiff,83,2026,,,,,Matcha tier list,
goodeatman,83,2026,,,,,Matcha tier list,
helpless,83,2026,,,,,Matcha tier list,
m_lenia,83,2026,,,,,Matcha tier list,
taku,83,2026,,,,,Matcha tier list,
thegodofmariokartwii,83,2026,,,,,Matcha tier list,
Myronoso,83,2026,,,,,Matcha tier list,
0neliner,83,2026,,Elite,,,Personal,
Syodize,83,2021,,,,,2021 CCL draft,
